Country,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18
Netherlands,0.042324838886200596,10.457535260733643,8.348237099753778,2.8050264651629,1.2807982315854676,0.21592364208712433,0.22278054294912666,0.0,3.4897460494971426,6.070048028864388,2.3359005335327723,2.783449651610808,1.9708824370097968,0.8125672146010112,0.0,22.495217709704324,11.189398216281901,3.928450234874483
Austria,40.56493833507315,7.053217992925437,3.631032821397741,0.784970035735888,0.4634427464567322,0.20314750679062057,1.3932803834399403,0.9261822386612034,4.490053563181088,36.949436820360205,3.437998750185017,5.323936845920042,5.323936845920042,0.0,0.0,49.97499179467841,45.71137241423783,7.012663691850108
Poland,0.539700645119387,4.413354922521727,1.9368599582415293,1.3831496080985723,0.3955653976722701,0.0062637690930011725,0.12575828151882038,0.0005282377649451294,3.262207979607133,19.861180727085763,1.511228244606952,1.4087006852660284,0.9448017996104665,0.4638988853844838,0.0,8.53608024188609,22.781109658043054,3.2545884832379373
Portugal,10.470575206321612,11.27686474803715,2.9229253436181963,2.943600749494641,0.6341706599528866,0.01945088538087461,0.2181076916032605,0.0027722180319592984,3.295089026879914,19.193324901502525,0.0,8.213937048362054,8.213937048362054,0.0,0.0,28.007805918870886,27.407261948898583,3.535419821519271
Romania,7.11894530931017,3.0266171289363686,0.8978530278790208,0.06714417095904913,0.011694916122947383,0.043540645615284375,0.1974492923837814,0.004737625495242079,2.9338654075853134,17.76719888795851,0.4319678821874596,0.0,0.0,0.0,0.0,10.876526991924097,18.199166772351568,2.93847084527704
Slovenia,18.60376130658036,0.024419823698022952,2.6343497048187627,0.6625955461802029,0.4370064478592242,0.03723339918753975,0.3464510512628252,0.009647746561755521,3.728320993935022,22.75777992387931,2.403695284693287,2.8459046279862186,2.8459046279862186,0.0,0.0,21.96880063402272,28.007379839406223,4.121653190994599
Slovakia,6.738527848393807,0.008327030392778864,1.0283882533241873,1.6596604272682711,0.6977218765226199,0.00875923388396662,0.182849007233502,0.05182546712686892,3.1035683215596337,18.044690605500346,2.8923730769910163,1.587942212577226,1.587942212577226,0.0,0.0,9.88919172717892,22.5250058880765,3.3470020306503825
Finland,22.782619284201964,20.003185099565787,0.6080366667561845,18.17203796662762,1.3329816343594303,0.2451958802798941,0.42251958431510095,0.0,9.837068045530106,89.97171912683677,38.71840334621369,11.707808790209365,7.825212547544347,3.8825962426650173,0.7004923596505631,62.23114518637529,141.09842362651514,10.504783510665812
Sweden,55.65195245536736,27.836187304146467,1.6288178832156595,9.24595208186197,1.4697712853579195,0.6929145147214123,1.6296663211614335,0.1911488316571833,16.033410601621114,57.15130549889087,31.452890811097934,15.503777723733455,5.647566847800193,9.856210875933261,0.4499815061260049,93.31895134154828,104.55795552109645,18.54714027289237
Iceland,320.7739738151432,0.131142003944207,0.0,0.0,135.20145683166422,1.392213946120644,0.0,0.0,6.418638770172865,21.66529479758032,230.65951712700132,0.0,0.0,0.0,0.0,454.7143586145308,252.32481193255512,7.810852716825073
Norway,230.69038628492223,21.83892744508568,0.2739734708134342,0.0,0.32485792596497504,3.1725204238683054,1.1832783384052774,0.2630916208778549,6.416864629778794,15.816397489894513,3.644987300171236,11.519480744737129,6.143843358948034,5.375637385789095,0.0,248.50925483892968,30.98086554217578,11.035755013114557
